method,original_bytes,compressed_bytes,compression_ratio,mse,avg_cosine,inner_product_error,top5_recall,notes
float32_original,1228800,1228800,1.0,0.0,1.0,0.0,1.0,Original float32 embeddings.
rotation_scalar_int8,1228800,307204,3.999948,3.603519e-07,0.999931,0.000674,0.99575,Random rotation matrix generated by shared see...
scalar_int8,1228800,307204,3.999948,4.663391e-07,0.999911,0.000767,0.99375,Per-tensor symmetric scalar quantization. Scal...
rotation_scalar_int4,1228800,153604,7.999792,0.0001187075,0.978013,0.012368,0.90575,Random rotation matrix generated by shared see...
scalar_int4,1228800,153604,7.999792,0.0001526843,0.971965,0.014189,0.90225,Per-tensor symmetric scalar quantization. Scal...
rotation_pq_m32_k64_l2norm,1228800,117504,10.457516,0.001620187,0.688924,0.064134,0.632,PQ after random rotation; reconstructed vector...
pq_m32_k64_l2norm,1228800,117504,10.457516,0.001599732,0.692852,0.062649,0.613,Product Quantization trained on train set; rec...
pq_m32_k32_l2norm,1228800,65152,18.860511,0.001818481,0.650852,0.075341,0.5795,Product Quantization trained on train set; rec...
rotation_pq_m32_k32_l2norm,1228800,65152,18.860511,0.001835025,0.647675,0.075408,0.57025,PQ after random rotation; reconstructed vector...
rotation_pq_m16_k64_l2norm,1228800,107904,11.3879,0.002165106,0.5843,0.093478,0.50625,PQ after random rotation; reconstructed vector...
pq_m16_k64_l2norm,1228800,107904,11.3879,0.002153824,0.586466,0.092468,0.4945,Product Quantization trained on train set; rec...
rotation_pq_m16_k32_l2norm,1228800,57152,21.50056,0.002341963,0.550343,0.114461,0.4665,PQ after random rotation; reconstructed vector...
pq_m16_k32_l2norm,1228800,57152,21.50056,0.002338579,0.550993,0.113803,0.4485,Product Quantization trained on train set; rec...
pq_m8_k64_l2norm,1228800,103104,11.918063,0.002459208,0.527832,0.123379,0.42225,Product Quantization trained on train set; rec...
rotation_pq_m8_k64_l2norm,1228800,103104,11.918063,0.002468547,0.526039,0.122438,0.4095,PQ after random rotation; reconstructed vector...
pq_m8_k32_l2norm,1228800,53152,23.118603,0.002619553,0.497046,0.148468,0.3605,Product Quantization trained on train set; rec...
rotation_pq_m8_k32_l2norm,1228800,53152,23.118603,0.0026349,0.494099,0.149116,0.34825,PQ after random rotation; reconstructed vector...
rotation_scalar_int2,1228800,76804,15.999167,0.00252654,0.271767,0.083721,0.18975,Random rotation matrix generated by shared see...
scalar_int2,1228800,76804,15.999167,0.002576567,0.152975,0.082795,0.10075,Per-tensor symmetric scalar quantization. Scal...
single_vq_k16_l2norm,1228800,24976,49.199231,0.003007551,0.42255,0.250121,0.069,Single VQ trained on train set; reconstructed ...
single_vq_k8_l2norm,1228800,12588,97.616778,0.003226803,0.380454,0.32845,0.0375,Single VQ trained on train set; reconstructed ...
single_vq_k4_l2norm,1228800,6344,193.69483,0.003406496,0.345953,0.384531,0.02175,Single VQ trained on train set; reconstructed ...
